E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (normalized),,,
,1 bar CO,,0.5 bar CO,,0.1  bar CO,,0.01  bar CO,,,,,,,,,380
,,,,,,,,-0.5604,0.89313,-0.5528,4.91758,-0.5528,0.012941,,,
,,,,,,,,-0.55923,0.89188,-0.55178,4.87529,-0.55178,0.012829711,,,
,,,,,,,,-0.55836,0.8865,-0.55105,4.85849,-0.55105,0.0127855,,,
,,,,,,,,-0.55771,0.87653,-0.55037,4.82139,-0.55037,0.012687868,,,
,,,,,,,,-0.5568,0.87016,-0.54938,4.80327,-0.54938,0.012640184,,,
,,,,,,,,-0.55608,0.86236,-0.54875,4.75595,-0.54875,0.012515658,,,
,,,,,,,,-0.5551,0.85356,-0.54816,4.75786,-0.54816,0.012520684,,,
,,,,,,,,-0.55435,0.84972,-0.54742,4.74217,-0.54742,0.012479395,,,
,,,,,,,,-0.55348,0.84122,-0.54647,4.72425,-0.54647,0.012432237,,,
,,,,,,,,-0.55276,0.83587,-0.54569,4.6642,-0.54569,0.012274211,,,
,,,,,,,,-0.55177,0.83242,-0.54477,4.66134,-0.54477,0.012266684,,,
,,,,,,,,-0.55088,0.82479,-0.54426,4.58093,-0.54426,0.012055079,,,
,,,,,,,,-0.55032,0.81693,-0.54333,4.55725,-0.54333,0.011992763,,,
,,,,,,,,-0.54924,0.8142,-0.54251,4.56685,-0.54251,0.012018026,,,
,,,,,,,,-0.54831,0.80501,-0.54203,4.53788,-0.54203,0.011941789,,,
,,,,,,,,-0.54749,0.79749,-0.54085,4.54264,-0.54085,0.011954316,,,
,,,,,,,,-0.54688,0.79189,-0.53998,4.57183,-0.53998,0.012031132,,,
,,,,,,,,-0.54587,0.78664,-0.5392,4.52641,-0.5392,0.011911605,,,
,,,,,,,,-0.54535,0.78051,-0.53857,4.47507,-0.53857,0.0117765,,,
,,,,,,,,-0.54439,0.7732,-0.5375,4.44442,-0.5375,0.011695842,,,
,,,,,,,,-0.54352,0.76539,-0.53695,4.48049,-0.53695,0.011790763,,,
,,,,,,,,-0.54237,0.7633,-0.53615,4.4318,-0.53615,0.011662632,,,
,,,,,,,,-0.54195,0.75356,-0.53558,4.32785,-0.53558,0.011389079,,,
,,,,,,,,-0.54109,0.74726,-0.53447,4.30131,-0.53447,0.011319237,,,
,,,,,,,,-0.5404,0.73723,-0.5341,4.26597,-0.5341,0.011226237,,,
,,,,,,,,-0.53954,0.7317,-0.53305,4.27388,-0.53305,0.011247053,,,
,,,,,,,,-0.53897,0.72303,-0.53236,4.24227,-0.53236,0.011163868,,,
,,,,,,,,-0.53777,0.71727,-0.53164,4.20619,-0.53164,0.011068921,,,
,,,,,,,,-0.53708,0.71467,-0.53049,4.18131,-0.53049,0.011003447,,,
,,,,,,,,-0.53611,0.70907,-0.52987,4.16746,-0.52987,0.010967,,,
,,,,,,,,-0.53509,0.70306,-0.52925,4.14756,-0.52925,0.010914632,,,
,,,,,,,,-0.53443,0.6984,-0.52832,4.10614,-0.52832,0.010805632,,,
,,,,,,,,-0.53363,0.69383,-0.52742,4.11858,-0.52742,0.010838368,,,
,,,,,,,,-0.5329,0.67907,-0.52664,4.07354,-0.52664,0.010719842,,,
,,,,,,,,-0.53216,0.67441,-0.52586,4.03558,-0.52586,0.010619947,,,
,,,,,,,,-0.53126,0.66678,-0.52547,4.02936,-0.52547,0.010603579,,,
,,,,,,,,-0.53035,0.66227,-0.52434,4.03024,-0.52434,0.010605895,,,
,,,,,,,,-0.52955,0.65871,-0.52333,4.02498,-0.52333,0.010592053,,,
,,,,,,,,-0.52876,0.65349,-0.52255,3.98681,-0.52255,0.010491605,,,
,,,,,,,,-0.52786,0.64476,-0.52196,3.94675,-0.52196,0.010386184,,,
,,,,,,,,-0.52717,0.63784,-0.52118,3.94346,-0.52118,0.010377526,,,
,,,,,,,,-0.52605,0.63761,-0.52002,3.95232,-0.52002,0.010400842,,,
,,,,,,,,-0.52553,0.63113,-0.51947,3.93668,-0.51947,0.010359684,,,
,,,,,,,,-0.52433,0.62081,-0.51868,3.89198,-0.51868,0.010242053,,,
,,,,,,,,-0.52384,0.61637,-0.51786,3.86471,-0.51786,0.010170289,,,
,,,,,,,,-0.5229,0.6116,-0.51692,3.80988,-0.51692,0.010026,,,
,,,,,,,,-0.52208,0.60036,-0.51641,3.77444,-0.51641,0.009932737,,,
,,,,,,,,-0.52147,0.59232,-0.5156,3.74659,-0.5156,0.009859447,,,
,,,,,,,,-0.52048,0.58712,-0.51488,3.75905,-0.51488,0.009892237,,,
,,,,,,,,-0.51958,0.5845,-0.51391,3.75319,-0.51391,0.009876816,,,
,,,,,,,,-0.51869,0.57748,-0.51313,3.70439,-0.51313,0.009748395,,,
,,,,,,,,-0.51772,0.57092,-0.51206,3.69407,-0.51206,0.009721237,,,
,,,,,,,,-0.51733,0.56134,-0.5114,3.67676,-0.5114,0.009675684,,,
,,,,,,,,-0.5161,0.55735,-0.51074,3.66731,-0.51074,0.009650816,,,
,,,,,,,,-0.51587,0.54877,-0.50982,3.63537,-0.50982,0.009566763,,,
,,,,,,,,-0.51454,0.54405,-0.50924,3.62575,-0.50924,0.009541447,,,
,,,,,,,,-0.5136,0.53889,-0.50826,3.60588,-0.50826,0.009489158,,,
,,,,,,,,-0.5128,0.532,-0.50743,3.56876,-0.50743,0.009391474,,,
,,,,,,,,-0.51174,0.52752,-0.50653,3.52988,-0.50653,0.009289158,,,
,,,,,,,,-0.51114,0.52319,-0.50577,3.51675,-0.50577,0.009254605,,,
,,,,,,,,-0.51039,0.51155,-0.5051,3.48676,-0.5051,0.009175684,,,
,,,,,,,,-0.51004,0.50498,-0.50438,3.47856,-0.50438,0.009154105,,,
,,,,,,,,-0.50871,0.50212,-0.50348,3.46569,-0.50348,0.009120237,,,
,,,,,,,,-0.50805,0.49675,-0.50276,3.40734,-0.50276,0.008966684,,,
,,,,,,,,-0.50705,0.49104,-0.50186,3.40658,-0.50186,0.008964684,,,
,,,,,,,,-0.50649,0.48554,-0.50108,3.38378,-0.50108,0.008904684,,,
,,,,,,,,-0.50518,0.47934,-0.49993,3.37836,-0.49993,0.008890421,,,
,,,,,,,,-0.5049,0.47339,-0.49936,3.33268,-0.49936,0.008770211,,,
,,,,,,,,-0.5039,0.46519,-0.49867,3.33647,-0.49867,0.008780184,,,
,,,,,,,,-0.50328,0.46226,-0.4978,3.31961,-0.4978,0.008735816,,,
,,,,,,,,-0.5022,0.45656,-0.49692,3.29992,-0.49692,0.008684,,,
,,,,,,,,-0.50131,0.45272,-0.4962,3.26983,-0.4962,0.008604816,,,
,,,,,,,,-0.50052,0.44637,-0.4954,3.24486,-0.4954,0.008539105,,,
,,,,,,,,-0.49955,0.43843,-0.4946,3.21727,-0.4946,0.0084665,,,
,,,,,,,,-0.4985,0.43308,-0.49373,3.2102,-0.49373,0.008447895,,,
,,,,,,,,-0.4981,0.42959,-0.49294,3.18163,-0.49294,0.008372711,,,
,,,,,,,,-0.49673,0.42536,-0.49205,3.14556,-0.49205,0.008277789,,,
,,,,,,,,-0.49614,0.41804,-0.49121,3.14473,-0.49121,0.008275605,,,
